representation,word_ngram,char_ngram,model,cv_accuracy,holdout_accuracy,holdout_f1
CAPTION_ONLY,"(1, 3)","(3, 6)",Balanced Logistic C=10,0.6952435312024353,0.6263736263736264,0.5526315789473685
TAGS_ONLY,"(1, 3)","(3, 6)",Balanced Logistic C=1,0.6925799086757991,0.6593406593406593,0.5974025974025974
CAPTION_TAGS,"(1, 4)","(3, 7)",Balanced Logistic C=1,0.6925799086757991,0.6483516483516484,0.6097560975609756
WEIGHTED_TEXT,"(1, 3)","(3, 6)",Balanced Logistic C=0.3,0.6925799086757991,0.6483516483516484,0.6363636363636364
WEIGHTED_TEXT,"(1, 3)","(3, 6)",Balanced Logistic C=1,0.6925418569254187,0.6263736263736264,0.575
CAPTION_TAGS,"(1, 3)","(3, 6)",Balanced Logistic C=10,0.6925418569254187,0.6153846153846154,0.5333333333333333
WEIGHTED_TEXT,"(1, 2)","(3, 5)",Balanced Logistic C=1,0.6925418569254187,0.6153846153846154,0.5679012345679012
WEIGHTED_TEXT,"(1, 4)","(3, 7)",Balanced Logistic C=10,0.6925418569254186,0.6153846153846154,0.5333333333333333
WEIGHTED_TEXT,"(1, 2)","(3, 5)",Balanced Logistic C=10,0.6925038051750382,0.6263736263736264,0.5405405405405406
CAPTION_ONLY,"(1, 3)","(3, 6)",Balanced Logistic C=3,0.6925038051750381,0.6153846153846154,0.5454545454545454
TAGS_ONLY,"(1, 3)","(3, 6)",Balanced Logistic C=0.1,0.6924657534246574,0.6483516483516484,0.6363636363636364
CAPTION_ONLY,"(1, 2)","(3, 5)",Balanced Logistic C=10,0.6924657534246574,0.6263736263736264,0.5526315789473685
TAGS_ONLY,"(1, 1)","(3, 5)",Balanced Logistic C=1,0.6898401826484019,0.6263736263736264,0.5526315789473685
CAPTION_ONLY,"(1, 4)","(3, 7)",Balanced Logistic C=0.1,0.6897640791476409,0.6813186813186813,0.6813186813186813
CAPTION_ONLY,"(1, 4)","(3, 7)",Balanced Logistic C=3,0.6897640791476408,0.6373626373626373,0.5714285714285714
TAGS_ONLY,"(1, 2)","(3, 5)",Balanced Logistic C=3,0.6871004566210045,0.6373626373626373,0.56
CAPTION_TAGS,"(1, 2)","(3, 5)",Balanced Logistic C=1,0.6870624048706241,0.6263736263736264,0.5853658536585366
TAGS_ONLY,"(1, 1)","(3, 5)",Balanced Logistic C=0.1,0.6870243531202436,0.6593406593406593,0.6436781609195402
TAGS_ONLY,"(1, 1)","(3, 5)",Balanced Logistic C=0.3,0.6870243531202436,0.6593406593406593,0.6172839506172839
CAPTION_TAGS,"(1, 1)","(3, 5)",Balanced Logistic C=1,0.6870243531202436,0.6263736263736264,0.575
CAPTION_ONLY,"(1, 1)","(3, 5)",Balanced Logistic C=10,0.686986301369863,0.6153846153846154,0.5454545454545454
CAPTION_ONLY,"(1, 4)","(3, 7)",SVM C=10,0.686986301369863,0.6153846153846154,0.5333333333333333
CAPTION_ONLY,"(1, 3)","(3, 6)",SVM C=2,0.686910197869102,0.6043956043956044,0.5135135135135135
CAPTION_ONLY,"(1, 3)","(3, 6)",SVM C=5,0.686910197869102,0.6043956043956044,0.5135135135135135
CAPTION_ONLY,"(1, 3)","(3, 6)",SVM C=10,0.686910197869102,0.6043956043956044,0.5135135135135135
CAPTION_ONLY,"(1, 2)","(3, 5)",SVM C=10,0.6869101978691019,0.6043956043956044,0.5135135135135135
TAGS_ONLY,"(1, 3)","(3, 6)",Balanced Logistic C=3,0.6843226788432268,0.6373626373626373,0.56
CAPTION_TAGS,"(1, 4)","(3, 7)",Balanced Logistic C=3,0.6842846270928463,0.6043956043956044,0.5384615384615384
CAPTION_TAGS,"(1, 2)","(3, 5)",SVM C=1,0.6842465753424657,0.6043956043956044,0.5
CAPTION_ONLY,"(1, 4)","(3, 7)",SVM C=5,0.6842085235920853,0.6153846153846154,0.5333333333333333
CAPTION_TAGS,"(1, 2)","(3, 5)",SVM C=10,0.6842085235920852,0.6043956043956044,0.5
WEIGHTED_TEXT,"(1, 3)","(3, 6)",Balanced Logistic C=10,0.6841704718417049,0.6263736263736264,0.5405405405405406
CAPTION_ONLY,"(1, 2)","(3, 5)",SVM C=5,0.6841324200913242,0.6043956043956044,0.5135135135135135
CAPTION_TAGS,"(1, 1)","(3, 5)",Balanced Logistic C=3,0.6815068493150684,0.6263736263736264,0.5526315789473685
WEIGHTED_TEXT,"(1, 1)","(3, 5)",Balanced Logistic C=1,0.681468797564688,0.6483516483516484,0.6097560975609756
WEIGHTED_TEXT,"(1, 4)","(3, 7)",Balanced Logistic C=1,0.681468797564688,0.6263736263736264,0.575
CAPTION_TAGS,"(1, 3)","(3, 6)",SVM C=2,0.681468797564688,0.6153846153846154,0.5205479452054794
CAPTION_TAGS,"(1, 2)","(3, 5)",SVM C=2,0.681468797564688,0.6043956043956044,0.5
CAPTION_TAGS,"(1, 2)","(3, 5)",SVM C=5,0.681468797564688,0.6043956043956044,0.5
CAPTION_TAGS,"(1, 4)","(3, 7)",SVM C=2,0.6814307458143075,0.6373626373626373,0.547945205479452
CAPTION_ONLY,"(1, 4)","(3, 7)",SVM C=2,0.6814307458143075,0.6153846153846154,0.5333333333333333
WEIGHTED_TEXT,"(1, 2)","(3, 5)",SVM C=5,0.6814307458143075,0.5934065934065934,0.4788732394366197
WEIGHTED_TEXT,"(1, 2)","(3, 5)",SVM C=10,0.6814307458143075,0.5934065934065934,0.4788732394366197
CAPTION_TAGS,"(1, 3)","(3, 6)",SVM C=1,0.6814307458143074,0.6153846153846154,0.5205479452054794
CAPTION_TAGS,"(1, 4)","(3, 7)",SVM C=0.5,0.6814307458143074,0.6153846153846154,0.4927536231884058
WEIGHTED_TEXT,"(1, 3)","(3, 6)",SVM C=2,0.6814307458143074,0.6153846153846154,0.5205479452054794
CAPTION_ONLY,"(1, 4)","(3, 7)",SVM C=1,0.681392694063927,0.6263736263736264,0.5405405405405406
WEIGHTED_TEXT,"(1, 3)","(3, 6)",SVM C=1,0.681392694063927,0.6043956043956044,0.5
TAGS_ONLY,"(1, 2)","(3, 5)",Balanced Logistic C=10,0.6788051750380518,0.6263736263736264,0.5405405405405406
